Q,H,P,Ph,ni,e,dHu
0,61.7,21000,0,0,inf,2
0.1,61.7025,21012.8,16.7803,0.000798574,210.128,2.00004
0.2,61.7049,21025.6,33.5619,0.00159624,105.128,2.00016
0.3,61.7074,21038.5,50.3449,0.00239299,70.1282,2.00037
0.4,61.7098,21051.3,67.1292,0.00318884,52.6282,2.00066
0.5,61.7123,21064.1,83.9148,0.00398378,42.1282,2.00103
0.6,61.7147,21076.9,100.702,0.00477782,35.1282,2.00148
0.7,61.7172,21089.7,117.49,0.00557095,30.1282,2.00202
0.8,61.7196,21102.6,134.28,0.00636319,26.3782,2.00264
0.9,61.722,21115.4,151.071,0.00715453,23.4615,2.00334
1,61.7245,21128.2,167.863,0.00794496,21.1282,2.00412
1.1,61.7269,21141,184.656,0.00873451,19.2191,2.00498
1.2,61.7294,21153.9,201.451,0.00952316,17.6282,2.00593
1.3,61.7318,21166.7,218.248,0.0103109,16.2821,2.00696
1.4,61.7343,21179.5,235.045,0.0110978,15.1282,2.00807
1.5,61.7367,21192.3,251.844,0.0118838,14.1282,2.00927
1.6,61.7392,21205.1,268.644,0.0126688,13.2532,2.01054
1.7,61.7416,21218,285.446,0.013453,12.4811,2.0119
1.8,61.744,21230.8,302.249,0.0142364,11.7949,2.01334
1.9,61.7465,21243.6,319.053,0.0150188,11.1808,2.01487
2,61.7489,21256.4,335.859,0.0158003,10.6282,2.01647
2.1,61.7514,21269.2,352.665,0.016581,10.1282,2.01816
2.2,61.7538,21282.1,369.474,0.0173608,9.67366,2.01993
2.3,61.7562,21294.9,386.283,0.0181397,9.25864,2.02179
2.4,61.7587,21307.7,403.094,0.0189178,8.87821,2.02372
2.5,61.7611,21320.5,419.906,0.0196949,8.52821,2.02574
2.6,61.7635,21333.3,436.719,0.0204712,8.20513,2.02784
2.7,61.766,21346.2,453.534,0.0212466,7.90599,2.03003
2.8,61.7684,21359,470.35,0.0220212,7.62821,2.03229
2.9,61.7708,21371.8,487.168,0.0227949,7.36959,2.03464
3,61.7733,21384.6,503.986,0.0235677,7.12821,2.03707
3.1,61.7757,21397.4,520.806,0.0243397,6.9024,2.03958
3.2,61.7781,21410.3,537.628,0.0251107,6.69071,2.04218
3.3,61.7806,21423.1,554.45,0.025881,6.49185,2.04485
3.4,61.783,21435.9,571.274,0.0266503,6.30468,2.04761
3.5,61.7854,21448.7,588.1,0.0274189,6.12821,2.05045
3.6,61.7878,21461.6,604.926,0.0281865,5.96154,2.05338
3.7,61.7903,21474.4,621.754,0.0289533,5.80389,2.05638
3.8,61.7927,21487.2,638.583,0.0297193,5.65453,2.05947
3.9,61.7951,21500,655.414,0.0304844,5.51283,2.06264
4,61.7976,21512.8,672.246,0.0312486,5.37821,2.0659
4.1,61.8,21525.7,689.079,0.032012,5.25016,2.06923
