Q	H	P	Ph	ni	e	dHu
0	101.3	16000	0	0	inf	2
0.1	101.303	16018.9	27.5498	0.00171983	160.189	2.00004
0.2	101.305	16037.8	55.101	0.00343569	80.1891	2.00016
0.3	101.308	16056.7	82.6536	0.0051476	53.5224	2.00037
0.4	101.311	16075.6	110.208	0.00685557	40.1891	2.00066
0.5	101.313	16094.5	137.763	0.00855962	32.1891	2.00103
0.6	101.316	16113.4	165.32	0.0102597	26.8557	2.00148
0.7	101.318	16132.3	192.878	0.011956	23.0462	2.00202
0.8	101.32	16151.2	220.437	0.0136483	20.1891	2.00264
0.9	101.323	16170.1	247.997	0.0153367	17.9668	2.00334
1	101.325	16189.1	275.559	0.0170213	16.1891	2.00412
1.1	101.328	16208	303.122	0.0187021	14.7345	2.00498
1.2	101.33	16226.9	330.686	0.0203789	13.5224	2.00593
1.3	101.332	16245.8	358.252	0.022052	12.4967	2.00696
1.4	101.335	16264.7	385.818	0.0237212	11.6176	2.00807
1.5	101.337	16283.6	413.386	0.0253867	10.8557	2.00927
1.6	101.339	16302.5	440.954	0.0270483	10.1891	2.01054
1.7	101.341	16321.4	468.524	0.0287061	9.60082	2.0119
1.8	101.343	16340.3	496.095	0.0303602	9.07794	2.01334
1.9	101.345	16359.2	523.666	0.0320105	8.61011	2.01487
2	101.347	16378.1	551.239	0.0336571	8.18905	2.01647
2.1	101.35	16397	578.813	0.0352999	7.8081	2.01816
2.2	101.352	16415.9	606.387	0.036939	7.46178	2.01993
2.3	101.354	16434.8	633.963	0.0385743	7.14558	2.02179
2.4	101.355	16453.7	661.539	0.040206	6.85572	2.02372
2.5	101.357	16472.6	689.116	0.041834	6.58906	2.02574
2.6	101.359	16491.5	716.695	0.0434583	6.3429	2.02784
2.7	101.361	16510.4	744.273	0.0450789	6.11498	2.03003
2.8	101.363	16529.4	771.853	0.0466959	5.90334	2.03229
2.9	101.365	16548.3	799.434	0.0483092	5.7063	2.03464
3	101.367	16567.2	827.015	0.0499189	5.52239	2.03707
3.1	101.368	16586.1	854.597	0.051525	5.35035	2.03958
3.2	101.37	16605	882.18	0.0531274	5.18906	2.04218
3.3	101.372	16623.9	909.763	0.0547263	5.03754	2.04485
3.4	101.374	16642.8	937.347	0.0563215	4.89494	2.04761
3.5	101.375	16661.7	964.932	0.0579132	4.76048	2.05045
3.6	101.377	16680.6	992.518	0.0595013	4.6335	2.05338
3.7	101.378	16699.5	1020.1	0.0610859	4.51338	2.05638
3.8	101.38	16718.4	1047.69	0.0626669	4.39958	2.05947
3.9	101.382	16737.3	1075.28	0.0642443	4.29162	2.06264
4	101.383	16756.2	1102.87	0.0658183	4.18906	2.0659
4.1	101.385	16775.1	1130.45	0.0673887	4.0915	2.06923
4.2	101.386	16794	1158.04	0.0689556	3.99858	2.07265
4.3	101.388	16812.9	1185.63	0.070519	3.90999	2.07615
4.4	101.389	16831.8	1213.22	0.072079	3.82542	2.07974
4.5	101.39	16850.7	1240.81	0.0736354	3.74461	2.0834
4.6	101.392	16869.7	1268.4	0.0751884	3.66732	2.08715
4.7	101.393	16888.6	1295.99	0.076738	3.59331	2.09098
4.8	101.394	16907.5	1323.59	0.0782841	3.52239	2.09489
4.9	101.396	16926.4	1351.18	0.0798268	3.45436	2.09889
5	101.397	16945.3	1378.77	0.0813661	3.38906	2.10297
5.1	101.398	16964.2	1406.36	0.0829019	3.32631	2.10713
5.2	101.399	16983.1	1433.96	0.0844344	3.26598	2.11137
5.3	101.401	17002	1461.55	0.0859634	3.20792	2.11569
5.4	101.402	17020.9	1489.14	0.0874891	3.15202	2.1201
5.5	101.403	17039.8	1516.74	0.0890114	3.09815	2.12459
5.6	101.404	17058.7	1544.33	0.0905304	3.0462	2.12916
5.7	101.405	17077.6	1571.93	0.092046	2.99607	2.13381
5.8	101.406	17096.5	1599.52	0.0935583	2.94768	2.13855
5.9	101.407	17115.4	1627.12	0.0950672	2.90092	2.14337
6	101.408	17134.3	1654.71	0.0965728	2.85572	2.14827
6.1	101.409	17153.2	1682.31	0.0980752	2.81201	2.15325
6.2	101.41	17172.1	1709.9	0.0995742	2.7697	2.15832
6.3	101.411	17191	1737.5	0.10107	2.72874	2.16347
6.4	101.412	17209.9	1765.09	0.102562	2.68906	2.1687
6.5	101.413	17228.9	1792.69	0.104052	2.65059	2.17401
6.6	101.414	17247.8	1820.29	0.105537	2.6133	2.17941
6.7	101.415	17266.7	1847.88	0.10702	2.57712	2.18489
6.8	101.416	17285.6	1875.48	0.1085	2.542	2.19045
6.9	101.417	17304.5	1903.07	0.109976	2.5079	2.19609
7	101.418	17323.4	1930.67	0.111449	2.47477	2.20181
7.1	101.418	17342.3	1958.27	0.112919	2.44258	2.20762
7.2	101.419	17361.2	1985.86	0.114385	2.41128	2.21351
7.3	101.42	17380.1	2013.46	0.115849	2.38084	2.21948
7.4	101.421	17399	2041.06	0.117309	2.35122	2.22554
7.5	101.421	17417.9	2068.65	0.118766	2.32239	2.23167
7.6	101.422	17436.8	2096.25	0.12022	2.29432	2.23789
7.7	101.423	17455.7	2123.85	0.121671	2.26698	2.24419
7.79999	101.423	17474.6	2151.44	0.123118	2.24034	2.25058
7.89999	101.424	17493.5	2179.04	0.124563	2.21437	2.25704
7.99999	101.425	17512.4	2206.64	0.126004	2.18906	2.26359
8.09999	101.425	17531.3	2234.23	0.127442	2.16436	2.27022
8.2	101.426	17550.2	2261.83	0.128877	2.14028	2.27694
8.3	101.426	17569.2	2289.42	0.130309	2.11677	2.28373
8.4	101.427	17588.1	2317.02	0.131738	2.09382	2.29061
8.5	101.428	17607	2344.62	0.133164	2.07141	2.29757
8.6	101.428	17625.9	2372.21	0.134587	2.04952	2.30462
8.7	101.429	17644.8	2399.81	0.136007	2.02814	2.31174
8.8	101.429	17663.7	2427.4	0.137423	2.00724	2.31895
8.9	101.429	17682.6	2455	0.138837	1.98681	2.32624
9	101.43	17701.5	2482.59	0.140248	1.96683	2.33361
9.1	101.43	17720.4	2510.19	0.141655	1.9473	2.34107
9.2	101.431	17739.3	2537.78	0.14306	1.92819	2.3486
9.3	101.431	17758.2	2565.38	0.144461	1.90948	2.35622
9.4	101.431	17777.1	2592.97	0.14586	1.89118	2.36392
9.5	101.432	17796	2620.56	0.147256	1.87327	2.37171
9.6	101.432	17814.9	2648.16	0.148648	1.85572	2.37958
9.7	101.432	17833.8	2675.75	0.150038	1.83854	2.38752
9.8	101.433	17852.7	2703.34	0.151425	1.82171	2.39556
9.9	101.433	17871.6	2730.94	0.152808	1.80522	2.40367
10	101.433	17890.5	2758.53	0.154189	1.78905	2.41187
10.1	101.434	17909.5	2786.12	0.155567	1.77321	2.42014
10.2	101.434	17928.4	2813.71	0.156942	1.75768	2.4285
10.3	101.434	17947.3	2841.31	0.158314	1.74245	2.43695
10.4	101.434	17966.2	2868.9	0.159683	1.72752	2.44547
10.5	101.434	17985.1	2896.49	0.161049	1.71286	2.45408
10.6	101.435	18004	2924.08	0.162413	1.69849	2.46277
10.7	101.435	18022.9	2951.67	0.163773	1.68438	2.47155
10.8	101.435	18041.8	2979.26	0.165131	1.67054	2.4804
10.9	101.435	18060.7	3006.85	0.166486	1.65694	2.48934
11	101.435	18079.6	3034.44	0.167838	1.6436	2.49836
11.1	101.435	18098.5	3062.02	0.169187	1.6305	2.50746
11.2	101.435	18117.4	3089.61	0.170533	1.61763	2.51664
11.3	101.435	18136.3	3117.2	0.171876	1.60498	2.52591
11.4	101.435	18155.2	3144.79	0.173217	1.59256	2.53526
11.5	101.435	18174.1	3172.37	0.174554	1.58036	2.54469
11.6	101.435	18193	3199.96	0.175889	1.56836	2.55421
11.7	101.435	18211.9	3227.55	0.177221	1.55658	2.5638
11.8	101.435	18230.8	3255.13	0.178551	1.54499	2.57348
11.9	101.435	18249.8	3282.72	0.179877	1.53359	2.58324
12	101.435	18268.7	3310.3	0.181201	1.52239	2.59309
12.1	101.435	18287.6	3337.89	0.182522	1.51137	2.60301
12.2	101.435	18306.5	3365.47	0.18384	1.50053	2.61302
12.3	101.435	18325.4	3393.05	0.185156	1.48987	2.62311
12.4	101.435	18344.3	3420.64	0.186469	1.47938	2.63329
12.5	101.435	18363.2	3448.22	0.187779	1.46905	2.64354
12.6	101.435	18382.1	3475.8	0.189086	1.45889	2.65388
12.7	101.435	18401	3503.38	0.190391	1.4489	2.6643
12.8	101.434	18419.9	3530.96	0.191693	1.43905	2.6748
12.9	101.434	18438.8	3558.54	0.192992	1.42936	2.68539
13	101.434	18457.7	3586.12	0.194288	1.41982	2.69605
13.1	101.434	18476.6	3613.7	0.195582	1.41043	2.7068
13.2	101.434	18495.5	3641.28	0.196873	1.40117	2.71764
13.3	101.433	18514.4	3668.85	0.198162	1.39206	2.72855
13.4	101.433	18533.3	3696.43	0.199448	1.38308	2.73955
13.5	101.433	18552.2	3724.01	0.200731	1.37424	2.75063
13.6	101.433	18571.1	3751.59	0.202011	1.36552	2.76179
13.7	101.433	18590.1	3779.16	0.203289	1.35694	2.77303
13.8	101.432	18609	3806.74	0.204565	1.34847	2.78436
13.9	101.432	18627.9	3834.31	0.205837	1.34013	2.79577
14	101.432	18646.8	3861.88	0.207107	1.33191	2.80726
14.1	101.431	18665.7	3889.46	0.208375	1.32381	2.81883
14.2	101.431	18684.6	3917.03	0.20964	1.31581	2.83049
14.3	101.431	18703.5	3944.6	0.210902	1.30793	2.84223
14.4	101.43	18722.4	3972.17	0.212162	1.30016	2.85405
14.5	101.43	18741.3	3999.74	0.213419	1.2925	2.86595
14.6	101.43	18760.2	4027.31	0.214673	1.28494	2.87793
14.7	101.429	18779.1	4054.88	0.215925	1.27749	2.89
14.8	101.429	18798	4082.45	0.217175	1.27013	2.90215
14.9	101.429	18816.9	4110.02	0.218422	1.26288	2.91439
15	101.428	18835.8	4137.59	0.219666	1.25572	2.9267
15.1	101.428	18854.7	4165.15	0.220908	1.24866	2.9391
15.2	101.427	18873.6	4192.72	0.222147	1.24168	2.95158
15.3	101.427	18892.5	4220.29	0.223384	1.2348	2.96414
15.4	101.426	18911.4	4247.85	0.224618	1.22801	2.97678
15.5	101.426	18930.4	4275.42	0.22585	1.22131	2.98951
15.6	101.425	18949.3	4302.98	0.227079	1.21469	3.00232
15.7	101.425	18968.2	4330.54	0.228306	1.20816	3.01521
15.8	101.424	18987.1	4358.1	0.22953	1.20171	3.02818
15.9	101.424	19006	4385.67	0.230752	1.19534	3.04124
16	101.424	19024.9	4413.23	0.231971	1.18905	3.05438
16.1	101.423	19043.8	4440.79	0.233188	1.18284	3.0676
16.2	101.422	19062.7	4468.35	0.234403	1.17671	3.0809
16.3	101.422	19081.6	4495.91	0.235615	1.17065	3.09429
16.4	101.421	19100.5	4523.46	0.236824	1.16466	3.10776
16.5	101.421	19119.4	4551.02	0.238032	1.15875	3.12131
16.6	101.42	19138.3	4578.58	0.239236	1.15291	3.13494
16.7	101.42	19157.2	4606.13	0.240439	1.14714	3.14866
16.8	101.419	19176.1	4633.69	0.241638	1.14143	3.16245
16.9	101.419	19195	4661.25	0.242836	1.1358	3.17633
17	101.418	19213.9	4688.8	0.244031	1.13023	3.1903
17.1	101.417	19232.8	4716.35	0.245224	1.12473	3.20434
17.2	101.417	19251.7	4743.9	0.246414	1.11929	3.21847
17.3	101.416	19270.7	4771.46	0.247602	1.11391	3.23268
17.4	101.416	19289.6	4799.01	0.248788	1.10859	3.24697
17.5	101.415	19308.5	4826.56	0.249971	1.10334	3.26134
